Vivado Simulator 2015.2
Time resolution is 1 ps
                   0 a=x,b=x,cin=x, sum=x, cout=x
                 350 a=0,b=0,cin=0, sum=0, cout=0
                 400 a=0,b=0,cin=1, sum=1, cout=0
                 450 a=0,b=1,cin=0, sum=1, cout=0
                 500 a=0,b=1,cin=1, sum=0, cout=1
                 550 a=1,b=0,cin=0, sum=1, cout=0
                 600 a=1,b=0,cin=1, sum=0, cout=1
                 650 a=1,b=1,cin=0, sum=0, cout=1
                 700 a=1,b=1,cin=1, sum=1, cout=1
              160 a0=0, a1=1, b0=0, b1=1, cin=0, sum0=0, sum1=0, cout=1
                 170 a0=0, a1=1, b0=1, b1=0, cin=0, sum0=1, sum1=1, cout=0
                 180 a0=0, a1=1, b0=1, b1=1, cin=0, sum0=1, sum1=0, cout=1
                 190 a0=1, a1=1, b0=0, b1=0, cin=0, sum0=1, sum1=1, cout=0
                 200 a0=1, a1=0, b0=0, b1=1, cin=0, sum0=1, sum1=1, cout=0
                 210 a0=1, a1=0, b0=1, b1=0, cin=0, sum0=0, sum1=1, cout=0
                 220 a0=1, a1=0, b0=1, b1=1, cin=0, sum0=0, sum1=0, cout=1
                 230 a0=1, a1=1, b0=0, b1=0, cin=0, sum0=1, sum1=1, cout=0
                 240 a0=1, a1=1, b0=0, b1=1, cin=0, sum0=1, sum1=0, cout=1
                 250 a0=1, a1=1, b0=1, b1=0, cin=0, sum0=0, sum1=0, cout=1
                 260 a0=1, a1=1, b0=1, b1=1, cin=0, sum0=0, sum1=1, cout=1
                 270 a0=0, a1=0, b0=0, b1=0, cin=1, sum0=1, sum1=0, cout=0
                 280 a0=0, a1=0, b0=0, b1=1, cin=1, sum0=1, sum1=1, cout=0
                 290 a0=0, a1=0, b0=1, b1=0, cin=1, sum0=0, sum1=1, cout=0
                 300 a0=0, a1=0, b0=1, b1=1, cin=1, sum0=0, sum1=0, cout=1
                 310 a0=0, a1=1, b0=0, b1=0, cin=1, sum0=1, sum1=1, cout=0
                 320 a0=0, a1=1, b0=0, b1=1, cin=1, sum0=1, sum1=0, cout=1
                 330 a0=0, a1=1, b0=1, b1=0, cin=1, sum0=0, sum1=0, cout=1
                 340 a0=0, a1=1, b0=1, b1=1, cin=1, sum0=0, sum1=1, cout=1
                 350 a0=1, a1=1, b0=0, b1=0, cin=1, sum0=0, sum1=0, cout=1
                 360 a0=1, a1=0, b0=0, b1=1, cin=1, sum0=0, sum1=0, cout=1
                 370 a0=1, a1=0, b0=1, b1=0, cin=1, sum0=1, sum1=1, cout=0
                 380 a0=1, a1=0, b0=1, b1=1, cin=1, sum0=1, sum1=0, cout=1
                 390 a0=1, a1=1, b0=0, b1=0, cin=1, sum0=0, sum1=0, cout=1
                 400 a0=1, a1=1, b0=0, b1=1, cin=1, sum0=0, sum1=1, cout=1
                 410 a0=1, a1=1, b0=1, b1=0, cin=1, sum0=1, sum1=0, cout=1
                 420 a0=1, a1=1, b0=1, b1=1, cin=1, sum0=1, sum1=1, cout=1
